business_name,business_category,sub_category_1,sub_category_2,city,state,phone,mobile,fax,website,email,latitude,longitude,facebook_page,twitter_page
Birth Journey Midwifery Care,Health & Beauty,Health Specialists,Midwives,Christchurch City,Canterbury,0800 247845,,(03)  352 2941,,Not in Sample,0,0,,
Technician Point Computer Repair,Computers & Electronics,Computer & Printer Repair,,Porirua City,Wellington,(04) 2378111,(027)  958 7280,,http://www.technicianpoint.co.nz,Not in Sample,-41.1350218,174.8414294,,
Credit Checking,Finance,Credit Control & Advice Services,,Wellington City,Wellington,(04) 2328664,,(04)  232 8667,http://www.creditchecking.co.nz,Not in Sample,-41.1848866,174.8387975,,
Natures Patch,Shopping,Health Products Shops,,Hamilton City,Waikato,(07) 8551337,,,,Not in Sample,0,0,,
Crisis Pregnancy Support,Health & Beauty,Health Specialists,Midwives,Nelson City,Nelson,(03) 5481858,,,,Not in Sample,-41.28915386,173.2723102,,
Bob The Cleaner,Building & Maintenance,Cleaning,Cleaners - Commercial,Wellington City,Wellington,(021) 1615245,(021)  161 5245,(04)  477 9918,,Not in Sample,-41.2092382,174.8075349,,
Zen Art,Business Services,Display & Design,Shop & Office Fitters,Christchurch City,Canterbury,(03) 9822124,,,,Not in Sample,-43.54330648,172.581401,,
Hardys Healthy Living,Health & Beauty,Products (health),Health Products,Christchurch City,Canterbury,(03) 3850707,,(03)  385 0708,http://www.healthyliving.co.nz,Not in Sample,-43.50592825,172.6629134,,
Amazing Grapes Marlborough Limited,Food & Drink,Drink,Viticulture,Marlborough District,Marlborough,(03) 5793255,,,,Not in Sample,-41.53615271,173.9550183,,
Browsers Garden Cafe,Wining & Dining,Restaurants,Family Restaurants,Christchurch City,Canterbury,(03)3487779,,,,Not in Sample,0,0,,
Lett Builders Ltd,Building & Maintenance,Tradespeople,Builders,Manukau City,Auckland,(021) 663341,,,,Not in Sample,0,0,,
Jill Cameron Watercolour Artist,Leisure,Arts,Art Galleries,Thames-Coromandel,Waikato,(07) 8663164,,,,Not in Sample,0,0,,
Brogden Bulbs,Home & Garden,Garden Services,Tree Services,South Taranaki,Taranaki,(06) 2728282,,(06)  272 8282,,Not in Sample,-39.54262765,174.2730034,,
Beerescourt Tennis Club Inc,Sports,Sports - General,Sporting Facilities,Hamilton City,Waikato,(07) 8381277,,,,Not in Sample,-37.77270044,175.2618835,,
Dunback Excavation,Building & Maintenance,Building Machinery,Excavators,Waitaki-Otago,Otago,(021) 451517,,,,Not in Sample,-45.38219376,170.6327088,,
ADCAM Recruiting Ltd,Business Services,Administration,Secretarial Services,Whakatane,Bay Of Plenty,(07) 3085030,(021)  418 488,(07)  308 5033,http://www.adcam.co.nz,Not in Sample,-37.95272387,176.9945226,http://www.facebook.com/adcamrecruiting,
McLeays Shoe Store,Clothing & Fabric,Footwear,Footwear Retailers,Western Bay of Plenty,Bay Of Plenty,(07) 5490170,,,,Not in Sample,-37.55233996,175.9176205,,
Headmasters for Hair,Health & Beauty,Beauty,Hairdressers,Hamilton City,Waikato,(07) 8390470,,,http://www.headmasters.co.nz,Not in Sample,-37.78599133,175.2820131,,
Christchurch Powdercoaters,Industrial,Coatings,Powder Coatings,Christchurch City,Canterbury,(03) 3890293,,,,Not in Sample,0,0,,
Solid State Equipment Ltd,Business Services,Marketing & Research,Research & Development,Lower Hutt City,Wellington,(04) 5660571,,(04)  569 6986,http://www.solidstate.co.nz,Not in Sample,-41.22955522,174.9176252,,
Owens Transport - Christchurch,Transport,Transportation (Distribution),Transport Operators,Christchurch City,Canterbury,(03) 3431800,,(03)  348 2714,http://www.owens.co.nz,Not in Sample,-43.5420567,172.5715232,,
Quicksilver Internet,Business Services,General,Information Technology,Auckland City,Auckland,0800 QUICKSILVER080078425,,(09)  916 0301,http://www.quicksilver.co.nz,Not in Sample,0,0,,
Nebulite Southland,Home & Garden,Windows & Fittings,Windows,Invercargill City,Southland,(03) 2143428,,(03)  214 9943,http://www.nebulite.co.nz,Not in Sample,-46.41811585,168.3444735,,
Hanlons/Tisco Sound & Vision,Home & Garden,Appliances (Home),Video Systems & Repairs,Lower Hutt City,Wellington,(04) 9394265,,(04)  939 4266,,Not in Sample,-41.220874,174.8761661,,
Dogworkz,Leisure,Pets,Pet Grooming,Kapiti Coast,Wellington,(04) 2990149,(027)  296 6328,,http://www.mobiledoggrooming.co.nz,Not in Sample,-40.9188213,175.005017,http://www.facebook.com/sharer.php,
Eco-grow New Zealand Ltd,Food & Drink,Organic,Organic Products,Christchurch City,Canterbury,(03) 3149920,,(03)  314  9920,http://www.eco-grow.co.nz,Not in Sample,0,0,,
TLC Meats,Food & Drink,Meats,Butchers,New Plymouth,Taranaki,(06) 7588284,,,,Not in Sample,-39.06145088,174.062624,,
Burnsco Marine and Leisure,Boats & Marine,Boats,Boat & Yacht Supplies,Manukau City,Auckland,0800 102040,,(09)  443 396,http://www.burnscomarine.com,Not in Sample,0,0,,
Fulton Hogan Southland,Building & Maintenance,Roading,Road Marking Contractors,Invercargill City,Southland,(03) 2168069,,(03)  216 8085,http://www.fh.co.nz,Not in Sample,-46.43249812,168.3787329,,
Bench Cafe,Wining & Dining,Cafes,,Christchurch City,Canterbury,(03) 3663852,,,,Not in Sample,-43.29774545,172.590405,,
St Johns School,Education & Training,General Education,Schools,Central Otago,Otago,(03) 4449514,,(03)  444 9514,,Not in Sample,-45.13394907,170.0961244,,
Snoworld Sports Ltd,Sports,Sports Goods,Sporting Goods,Christchurch City,Canterbury,(03) 3661122,,(03)  379 5099,http://www.salomon.co.nz,Not in Sample,-43.53323516,172.6474746,,
Fine Foods Ltd,Food & Drink,Catering,Caterers,Christchurch City,Canterbury,(03) 3555701,,(03)  355 5701,,Not in Sample,-43.5098203,172.6073009,,
Creek Road Dairy - On The Spot,Food & Drink,Fruit & Veges,Fruiterers & Greengrocers,Ashburton,Canterbury,(03) 3083624,,(03)  308 3624,,Not in Sample,-43.89148955,171.756508,,
Open All Hours Laundromat,Clothing & Fabric,Cleaning & Repair,Laundrettes,Christchurch City,Canterbury,(03) 3772533,,,,Not in Sample,-43.53965498,172.6423894,,
Leahys Promotions Ltd,Food & Drink,Food - General,Foodstuffs,Upper Hutt City,Wellington,(04) 5285161,,,,Not in Sample,-41.14051926,175.0274251,,
General Equipment Co Ltd,Industrial,Equipment & Machinery,Machinery,North Shore City,Auckland,(09) 4796580,,(09)  828 3683,,Not in Sample,0,0,,
Buckley Gary,Building & Maintenance,Cleaning,Carpet & Furniture Cleaning,Christchurch City,Canterbury,(03) 3525238,,,,Not in Sample,-43.49379172,172.6118302,,
Learning Unlimited Childcare Centre,Children,Child Care & Education,,North Shore City,Auckland,(09) 4802732,,(09)  480 6412,http://www.learningunlimited.co.nz,Not in Sample,-36.79841147,174.7435329,,
Cobra Plumbing Ltd,Building & Maintenance,Tradespeople,Plumbers,Palmerston North City,Manawatu Wanganui,(06) 3637342,(027)  442 1133,,,Not in Sample,-40.4590496,175.2282748,,
Shree Shradha Astrologi,Business Services,General,Conference Services,Gisborne District,Gisborne,(03) 9426181035,,,,Not in Sample,0,0,,
Strathmore Dairy,Shopping,Retail Stores,Postal Services - Shops,Wellington City,Wellington,(04) 3888020,,(04)  388 8020,,Not in Sample,-41.32456,174.8211649,,
